Density Total;Richness Total;Density;Richness
154;53;2,187,520,721;172,427,587
174;58;2,240,549,248;1,763,427,994
202;65;2,305,351,369;1,812,913,357
209;65;2,320,146,286;1,812,913,357
224;66;2,350,248,018;1,819,543,936
286;72;2,456,366,033;1,857,332,496
349;74;2,542,825,427;186,923,172
362;80;2,558,708,571;1,903,089,987
445;82;2,648,360,011;1,913,813,852
547;83;2,737,987,326;1,919,078,092
468;78;2,670,245,853;1,892,094,603
412;73;2,614,897,216;186,332,286
394;74;2,595,496,222;186,923,172
364;72;2,561,101,384;1,857,332,496
272;64;2,434,568,904;1,806,179,974
117;44;2,068,185,862;1,643,452,676
70;33;184,509,804;151,851,394
68;33;1,832,508,913;151,851,394
28;20;1,447,158,031;1,301,029,996
14;14;1,146,128,036;1,146,128,036
13;13;1,113,943,352;1,113,943,352
12;7;1,079,181,246;0,84509804
34;17;1,531,478,917;1,230,448,921
51;19;1,707,570,176;1,278,753,601
76;28;1,880,813,592;1,447,158,031
79;28;1,897,627,091;1,447,158,031
79;28;1,897,627,091;1,447,158,031
81;28;1,908,485,019;1,447,158,031
114;33;2,056,904,851;151,851,394
140;38;2,146,128,036;1,579,783,597
140;38;2,146,128,036;1,579,783,597
136;37;2,133,538,908;1,568,201,724
111;36;2,045,322,979;1,556,302,501
88;32;1,944,482,672;1,505,149,978
88;31;1,944,482,672;1,491,361,694
98;33;1,991,226,076;151,851,394
124;47;2,093,421,685;1,672,097,858
186;63;2,269,512,944;1,799,340,549
248;69;2,394,451,681;1,838,849,091
262;74;2,418,301,291;186,923,172
273;76;2,436,162,647;1,880,813,592
279;77;2,445,604,203;1,886,490,725
292;74;2,465,382,851;186,923,172
397;81;2,598,790,507;1,908,485,019
463;81;2,665,580,991;1,908,485,019
579;89;2,762,678,564;1,949,390,007
605;88;2,781,755,375;1,944,482,672
530;83;272,427,587;1,919,078,092
454;78;2,657,055,853;1,892,094,603
416;75;2,619,093,331;1,875,061,263
360;70;2,556,302,501;184,509,804
324;66;251,054,501;1,819,543,936
216;59;2,334,453,751;1,770,852,012
82;35;1,913,813,852;1,544,068,044
63;30;1,799,340,549;1,477,121,255
17;14;1,230,448,921;1,146,128,036
13;13;1,113,943,352;1,113,943,352
9;9;0,954242509;0,954242509
11;7;1,041,392,685;0,84509804
34;17;1,531,478,917;1,230,448,921
51;19;1,707,570,176;1,278,753,601
